,loss,train_accuracy,test_accuracy,w1_mean,w1_std,w2_mean,w2_std,MSE,term_I,term_II,term_IV,MSE_star,term_I_star,term_II_star,term_IV_star,MSE_diamond,term_I_diamond,term_II_diamond,term_IV_diamond
458,0.034584615379571915,0.8543166666666666,0.8615,-3.829679189948365e-05,0.020497454330325127,-0.00031641771784052253,0.029529552906751633,0.6956259999999999,0.039615,0.153187,0.497176,0.369248,0.000253,0.153187,0.784192,0.5325529999999999,0.000163,0.150136,0.617746
459,0.03458229452371597,0.8543333333333333,0.8615,-3.829801062238403e-05,0.020497435703873634,-0.00031640485394746065,0.029528597369790077,0.695659,0.039627,0.153208,0.497176,0.36926799999999993,0.000252,0.153208,0.784192,0.5325730000000001,0.000162,0.150157,0.617746
460,0.03457997366786003,0.8543166666666666,0.8614,-3.8299276639008895e-05,0.02049741894006729,-0.0003163921064697206,0.02952764369547367,0.6956929999999999,0.03964,0.153229,0.497176,0.36928800000000006,0.000251,0.153229,0.784192,0.532593,0.000162,0.150177,0.617746
461,0.03457767143845558,0.8542833333333333,0.8612,-3.830054265563376e-05,0.020497404038906097,-0.00031637941719964147,0.029526695609092712,0.6957259999999998,0.039652,0.15325,0.497176,0.36930799999999997,0.00025,0.15325,0.784192,0.5326129999999999,0.000161,0.150198,0.617746
462,0.03457537665963173,0.8542666666666666,0.8612,-3.830178684438579e-05,0.020497385412454605,-0.00031636652420274913,0.0295257531106472,0.6957599999999999,0.039665,0.153271,0.497176,0.3693279999999999,0.000249,0.153271,0.784192,0.532633,0.00016,0.150219,0.617746
463,0.034573085606098175,0.85425,0.8614,-3.8303027395159006e-05,0.020497366786003113,-0.00031635371851734817,0.02952481433749199,0.6957929999999999,0.039677,0.153292,0.497176,0.369348,0.000248,0.153292,0.784192,0.5326529999999999,0.00016,0.150239,0.617746
464,0.034570809453725815,0.8542833333333333,0.8613,-3.8304191548377275e-05,0.02049735188484192,-0.0003163408546242863,0.029523879289627075,0.695827,0.03969,0.153313,0.497176,0.3693679999999999,0.000247,0.153313,0.784192,0.5326730000000001,0.000159,0.15026,0.617746
465,0.03456854075193405,0.8542166666666666,0.8614,-3.830538844340481e-05,0.020497335121035576,-0.0003163278161082417,0.02952294982969761,0.695859,0.039702,0.153333,0.497176,0.3693869999999999,0.000246,0.153333,0.784192,0.532692,0.000158,0.15028,0.617746
466,0.034566279500722885,0.8542833333333333,0.8614,-3.8306592614389956e-05,0.020497320219874382,-0.0003163148940075189,0.02952202595770359,0.695892,0.039714,0.153354,0.497176,0.36940700000000004,0.000245,0.153354,0.784192,0.5327129999999999,0.000158,0.150301,0.617746
467,0.034564029425382614,0.8542833333333333,0.8614,-3.830774949165061e-05,0.02049730159342289,-0.00031630188459530473,0.02952110767364502,0.6959249999999999,0.039726,0.153375,0.497176,0.36942699999999995,0.000244,0.153375,0.784192,0.5327320000000001,0.000157,0.150321,0.617746
468,0.03456178307533264,0.8542833333333333,0.8614,-3.830889909295365e-05,0.020497286692261696,-0.00031628916622139513,0.02952018938958645,0.6959579999999999,0.039739,0.153395,0.497176,0.36944599999999994,0.000243,0.153395,0.784192,0.5327510000000001,0.000156,0.150341,0.617746
469,0.034559547901153564,0.8543,0.8614,-3.831008143606596e-05,0.020497268065810204,-0.00031627624412067235,0.029519278556108475,0.695991,0.039751,0.153416,0.497176,0.36946600000000007,0.000242,0.153416,0.784192,0.5327719999999999,0.000156,0.150362,0.617746
470,0.034557316452264786,0.8543,0.8615,-3.8311260141199455e-05,0.02049725502729416,-0.0003162629727739841,0.0295183714479208,0.6960229999999998,0.039763,0.153436,0.497176,0.36948500000000006,0.000241,0.153436,0.784192,0.5327909999999999,0.000155,0.150382,0.617746
471,0.0345550999045372,0.8543166666666666,0.8615,-3.831245703622699e-05,0.020497238263487816,-0.00031624993425793946,0.029517468065023422,0.696056,0.039775,0.153457,0.497176,0.369505,0.00024,0.153457,0.784192,0.532811,0.000155,0.150402,0.617746
472,0.03455289453268051,0.8543666666666667,0.8615,-3.831364665529691e-05,0.020497221499681473,-0.0003162366047035903,0.029516570270061493,0.696088,0.039787,0.153477,0.497176,0.36952399999999996,0.000239,0.153477,0.784192,0.53283,0.000154,0.150422,0.617746
473,0.03455068916082382,0.8543833333333334,0.8615,-3.831480353255756e-05,0.02049720659852028,-0.000316223333356902,0.029515676200389862,0.6961199999999999,0.039799,0.153497,0.497176,0.36954299999999995,0.000238,0.153497,0.784192,0.532849,0.000153,0.150442,0.617746
474,0.034548498690128326,0.8544,0.8615,-3.831598223769106e-05,0.020497191697359085,-0.00031621017842553556,0.02951478585600853,0.6961529999999998,0.039811,0.153518,0.497176,0.36956299999999986,0.000237,0.153518,0.784192,0.5328689999999999,0.000153,0.150462,0.617746
475,0.03454631194472313,0.8544333333333334,0.8615,-3.831717185676098e-05,0.02049717679619789,-0.000316196761559695,0.029513901099562645,0.6961849999999998,0.039823,0.153538,0.497176,0.3695820000000001,0.000236,0.153538,0.784192,0.5328879999999999,0.000152,0.150482,0.617746
476,0.03454413637518883,0.85445,0.8614,-3.831838694168255e-05,0.0204971581697464,-0.000316183315590024,0.02951302006840706,0.6962169999999999,0.039835,0.153558,0.497176,0.36960100000000007,0.000235,0.153558,0.784192,0.5329069999999999,0.000151,0.150502,0.617746
477,0.03454196825623512,0.8544666666666667,0.8614,-3.8319591112667695e-05,0.020497143268585205,-0.00031617030617780983,0.02951214276254177,0.6962489999999999,0.039847,0.153578,0.497176,0.36962000000000006,0.000234,0.153578,0.784192,0.532927,0.000151,0.150522,0.617746
478,0.034539807587862015,0.85445,0.8612,-3.832080983556807e-05,0.02049712836742401,-0.00031615697662346065,0.02951127104461193,0.6962809999999999,0.039859,0.153598,0.497176,0.36963900000000005,0.000233,0.153598,0.784192,0.532946,0.00015,0.150542,0.617746
479,0.034537654370069504,0.8544333333333334,0.8612,-3.8322003092616796e-05,0.020497111603617668,-0.0003161435597576201,0.02951040118932724,0.6963119999999998,0.03987,0.153618,0.497176,0.36965899999999996,0.000233,0.153618,0.784192,0.5329659999999999,0.00015,0.150562,0.617746
480,0.03453550860285759,0.85445,0.8613,-3.8323218177538365e-05,0.020497096702456474,-0.00031613008468411863,0.029509536921977997,0.6963439999999999,0.039882,0.153638,0.497176,0.36967799999999995,0.000232,0.153638,0.784192,0.532984,0.000149,0.150581,0.617746
481,0.03453337401151657,0.8544166666666667,0.8614,-3.832438596873544e-05,0.02049708366394043,-0.00031611655140295625,0.029508676379919052,0.6963759999999999,0.039894,0.153658,0.497176,0.36969699999999994,0.000231,0.153658,0.784192,0.533003,0.000148,0.150601,0.617746
482,0.03453124314546585,0.85445,0.8614,-3.832555012195371e-05,0.020497066900134087,-0.0003161031345371157,0.029507819563150406,0.6964079999999999,0.039906,0.153678,0.497176,0.36971599999999993,0.00023,0.153678,0.784192,0.5330229999999999,0.000148,0.150621,0.617746
483,0.034529123455286026,0.8544666666666667,0.8614,-3.832671063719317e-05,0.020497051998972893,-0.00031608951394446194,0.029506968334317207,0.696439,0.039917,0.153698,0.497176,0.3697349999999999,0.000229,0.153698,0.784192,0.533041,0.000147,0.15064,0.617746
484,0.0345270074903965,0.8544333333333334,0.8614,-3.832783841062337e-05,0.020497038960456848,-0.0003160758060403168,0.029506118968129158,0.6964709999999998,0.039929,0.153718,0.497176,0.3697539999999999,0.000228,0.153718,0.784192,0.5330609999999999,0.000147,0.15066,0.617746
485,0.03452490270137787,0.8544166666666667,0.8614,-3.832894071820192e-05,0.020497022196650505,-0.00031606218544766307,0.029505275189876556,0.696502,0.03994,0.153738,0.497176,0.3697729999999999,0.000227,0.153738,0.784192,0.533079,0.000146,0.150679,0.617746
486,0.034522805362939835,0.8544333333333334,0.8614,-3.8330046663759276e-05,0.02049700915813446,-0.0003160485066473484,0.029504436999559402,0.6965330000000001,0.039952,0.153757,0.497176,0.369791,0.000226,0.153757,0.784192,0.533098,0.000145,0.150699,0.617746
487,0.0345207154750824,0.8544,0.8614,-3.833115260931663e-05,0.020496994256973267,-0.0003160345950163901,0.02950359880924225,0.696564,0.039963,0.153777,0.497176,0.36980999999999997,0.000225,0.153777,0.784192,0.533117,0.000145,0.150718,0.617746
488,0.034518636763095856,0.8543833333333334,0.8613,-3.833228402072564e-05,0.020496977493166924,-0.00031602082890458405,0.02950276806950569,0.6965949999999999,0.039975,0.153796,0.497176,0.36982800000000005,0.000224,0.153796,0.784192,0.5331359999999999,0.000144,0.150738,0.617746
489,0.034516558051109314,0.8543833333333334,0.8613,-3.833345544990152e-05,0.02049696445465088,-0.0003160069463774562,0.029501941055059433,0.696626,0.039986,0.153816,0.497176,0.36984700000000004,0.000223,0.153816,0.784192,0.5331549999999999,0.000144,0.150757,0.617746
490,0.034514494240283966,0.8544166666666667,0.8613,-3.833456139545888e-05,0.020496949553489685,-0.00031599318026565015,0.029501115903258324,0.696658,0.039998,0.153836,0.497176,0.36986600000000003,0.000222,0.153836,0.784192,0.533173,0.000143,0.150776,0.617746
491,0.03451243415474892,0.8543833333333334,0.8613,-3.833569644484669e-05,0.02049693465232849,-0.00031597953056916595,0.02950029820203781,0.696688,0.040009,0.153855,0.497176,0.369885,0.000222,0.153855,0.784192,0.5331910000000001,0.000142,0.150795,0.617746
492,0.034510381519794464,0.8543666666666667,0.8614,-3.833682058029808e-05,0.020496917888522148,-0.0003159657644573599,0.0294994805008173,0.696718,0.04002,0.153874,0.497176,0.3699030000000001,0.000221,0.153874,0.784192,0.533211,0.000142,0.150815,0.617746
493,0.03450834006071091,0.8543833333333334,0.8614,-3.833793380181305e-05,0.020496904850006104,-0.0003159519692417234,0.029498668387532234,0.69675,0.040032,0.153894,0.497176,0.3699220000000001,0.00022,0.153894,0.784192,0.5332290000000001,0.000141,0.150834,0.617746
494,0.03450630232691765,0.85435,0.8614,-3.833899972960353e-05,0.02049688994884491,-0.000315938115818426,0.029497859999537468,0.69678,0.040043,0.153913,0.497176,0.36993999999999994,0.000219,0.153913,0.784192,0.533248,0.000141,0.150853,0.617746
495,0.034504275768995285,0.8543333333333333,0.8614,-3.83401129511185e-05,0.020496876910328865,-0.0003159242623951286,0.02949705719947815,0.6968099999999999,0.040054,0.153932,0.497176,0.369958,0.000218,0.153932,0.784192,0.5332659999999999,0.00014,0.150872,0.617746
496,0.03450224921107292,0.8543833333333334,0.8614,-3.834119706880301e-05,0.02049686200916767,-0.00031591023434884846,0.02949625626206398,0.696841,0.040065,0.153952,0.497176,0.369977,0.000217,0.153952,0.784192,0.5332849999999999,0.00014,0.150891,0.617746
497,0.034500233829021454,0.8543833333333334,0.8614,-3.8342321204254404e-05,0.020496847108006477,-0.0003158962354063988,0.02949545904994011,0.6968719999999999,0.040077,0.153971,0.497176,0.3699950000000001,0.000216,0.153971,0.784192,0.533303,0.000139,0.15091,0.617746
498,0.03449822589755058,0.8544333333333334,0.8614,-3.834342351183295e-05,0.020496835932135582,-0.0003158821491524577,0.029494667425751686,0.6969019999999999,0.040088,0.15399,0.497176,0.3700129999999999,0.000215,0.15399,0.784192,0.533322,0.000139,0.150929,0.617746
499,0.03449622914195061,0.8544333333333334,0.8614,-3.834453673334792e-05,0.020496822893619537,-0.0003158678882755339,0.029493875801563263,0.6969319999999999,0.040099,0.154009,0.497176,0.3700319999999999,0.000215,0.154009,0.784192,0.53334,0.000138,0.150948,0.617746
500,0.03449423611164093,0.8544166666666667,0.8614,-3.834568997262977e-05,0.020496809855103493,-0.00031585380202159286,0.029493093490600586,0.6969619999999999,0.04011,0.154028,0.497176,0.37005,0.000214,0.154028,0.784192,0.533357,0.000137,0.150966,0.617746
501,0.03449224680662155,0.8543833333333334,0.8614,-3.834680319414474e-05,0.0204967949539423,-0.0003158397157676518,0.02949230931699276,0.6969919999999998,0.040121,0.154047,0.497176,0.37006800000000006,0.000213,0.154047,0.784192,0.533376,0.000137,0.150985,0.617746
502,0.03449027240276337,0.8543833333333334,0.8614,-3.834791641565971e-05,0.020496780052781105,-0.0003158256004098803,0.02949153259396553,0.697022,0.040132,0.154066,0.497176,0.3700859999999999,0.000212,0.154066,0.784192,0.533394,0.000136,0.151004,0.617746
503,0.03448829799890518,0.8543833333333334,0.8614,-3.8349011447280645e-05,0.02049676515161991,-0.00031581122311763465,0.02949075773358345,0.697052,0.040143,0.154085,0.497176,0.370104,0.000211,0.154085,0.784192,0.533413,0.000136,0.151023,0.617746
504,0.03448633477091789,0.8543833333333334,0.8614,-3.835010647890158e-05,0.020496752113103867,-0.00031579675851389766,0.02948998659849167,0.697082,0.040154,0.154104,0.497176,0.37012200000000006,0.00021,0.154104,0.784192,0.53343,0.000135,0.151041,0.617746
505,0.0344843789935112,0.8543666666666667,0.8614,-3.835120514850132e-05,0.020496739074587822,-0.00031578275957144797,0.029489221051335335,0.697112,0.040165,0.154123,0.497176,0.37014100000000005,0.00021,0.154123,0.784192,0.533449,0.000135,0.15106,0.617746
506,0.034482426941394806,0.8544166666666667,0.8613,-3.8352289266185835e-05,0.020496726036071777,-0.0003157685569021851,0.02948845736682415,0.697141,0.040176,0.154141,0.497176,0.370158,0.000209,0.154141,0.784192,0.5334659999999999,0.000134,0.151078,0.617746
507,0.03448048233985901,0.8544833333333334,0.8613,-3.835338429780677e-05,0.020496712997555733,-0.0003157542669214308,0.029487697407603264,0.6971699999999998,0.040186,0.15416,0.497176,0.37017600000000006,0.000208,0.15416,0.784192,0.5334850000000001,0.000134,0.151097,0.617746
508,0.03447854518890381,0.8545,0.8613,-3.835450115730055e-05,0.020496699959039688,-0.0003157400351483375,0.029486943036317825,0.6972,0.040197,0.154179,0.497176,0.37019400000000013,0.000207,0.154179,0.784192,0.533502,0.000133,0.151115,0.617746
509,0.034476619213819504,0.8545,0.8613,-3.835558163700625e-05,0.020496686920523643,-0.00031572571606375277,0.029486188665032387,0.6972289999999999,0.040208,0.154197,0.497176,0.37021100000000007,0.000206,0.154197,0.784192,0.533521,0.000133,0.151134,0.617746
510,0.0344746932387352,0.8545166666666667,0.8614,-3.8356654840754345e-05,0.02049667201936245,-0.0003157112514600158,0.029485441744327545,0.6972589999999999,0.040219,0.154216,0.497176,0.37023000000000006,0.000206,0.154216,0.784192,0.533538,0.000132,0.151152,0.617746
511,0.03447277471423149,0.85455,0.8614,-3.835771349258721e-05,0.020496658980846405,-0.0003156969614792615,0.029484694823622704,0.6972879999999999,0.040229,0.154235,0.497176,0.37024800000000013,0.000205,0.154235,0.784192,0.533556,0.000132,0.15117,0.617746
512,0.03447086736559868,0.85455,0.8614,-3.835879761027172e-05,0.02049664780497551,-0.0003156825841870159,0.02948395349085331,0.697317,0.04024,0.154253,0.497176,0.37026500000000007,0.000204,0.154253,0.784192,0.5335739999999999,0.000131,0.151189,0.617746
513,0.03446896746754646,0.8545666666666667,0.8611,-3.8359856262104586e-05,0.020496632903814316,-0.00031566788675263524,0.029483215883374214,0.6973469999999999,0.040251,0.154272,0.497176,0.3702829999999999,0.000203,0.154272,0.784192,0.533592,0.000131,0.151207,0.617746
514,0.03446706756949425,0.8545666666666667,0.8611,-3.8360907637979835e-05,0.02049662172794342,-0.0003156535094603896,0.02948247827589512,0.6973749999999999,0.040261,0.15429,0.497176,0.3703000000000001,0.000202,0.15429,0.784192,0.5336089999999999,0.00013,0.151225,0.617746
515,0.03446517884731293,0.85455,0.8611,-3.8361984479706734e-05,0.020496608689427376,-0.0003156390448566526,0.02948174811899662,0.6974039999999999,0.040272,0.154308,0.497176,0.3703179999999999,0.000202,0.154308,0.784192,0.533627,0.00013,0.151243,0.617746
516,0.034463297575712204,0.85455,0.8611,-3.836303221760318e-05,0.02049659565091133,-0.00031562434742227197,0.02948102168738842,0.697433,0.040282,0.154327,0.497176,0.370336,0.000201,0.154327,0.784192,0.5336439999999999,0.000129,0.151261,0.617746
517,0.03446142375469208,0.8545833333333334,0.8611,-3.8364109059330076e-05,0.020496582612395287,-0.0003156095917802304,0.02948029711842537,0.697462,0.040293,0.154345,0.497176,0.37035299999999993,0.0002,0.154345,0.784192,0.533662,0.000129,0.151279,0.617746
518,0.03445955365896225,0.8545833333333334,0.861,-3.836517862509936e-05,0.020496569573879242,-0.0003155950107611716,0.029479576274752617,0.6974899999999999,0.040303,0.154363,0.497176,0.3703700000000001,0.000199,0.154363,0.784192,0.5336789999999999,0.000128,0.151297,0.617746
519,0.03445768728852272,0.8545833333333334,0.861,-3.8366200897144154e-05,0.020496554672718048,-0.0003155803424306214,0.029478859156370163,0.697519,0.040314,0.154381,0.497176,0.370387,0.000198,0.154381,0.784192,0.533697,0.000128,0.151315,0.617746
520,0.034455835819244385,0.8545,0.8611,-3.8367226807167754e-05,0.020496543496847153,-0.0003155657323077321,0.02947814390063286,0.6975479999999998,0.040324,0.1544,0.497176,0.370406,0.000198,0.1544,0.784192,0.5337139999999999,0.000127,0.151333,0.617746
521,0.03445398062467575,0.8545166666666667,0.8611,-3.836824544123374e-05,0.020496530458331108,-0.0003155511221848428,0.029477432370185852,0.6975769999999999,0.040335,0.154418,0.497176,0.37042299999999995,0.000197,0.154418,0.784192,0.533732,0.000127,0.151351,0.617746
522,0.03445214033126831,0.8545166666666667,0.8611,-3.836927862721495e-05,0.020496517419815063,-0.00031553636654280126,0.029476726427674294,0.6976049999999998,0.040345,0.154436,0.497176,0.3704399999999999,0.000196,0.154436,0.784192,0.5337489999999999,0.000126,0.151369,0.617746
523,0.03445030376315117,0.8545,0.8611,-3.8370300899259746e-05,0.020496506243944168,-0.0003155216691084206,0.029476020485162735,0.697633,0.040355,0.154454,0.497176,0.37045700000000004,0.000195,0.154454,0.784192,0.533767,0.000126,0.151387,0.617746
